City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
160,Hasaki,JP,35.7333,140.8333,75.6,93,95,5.01,overcast clouds
161,Kaeo,NZ,-35.1,173.7833,57.33,78,90,13.71,overcast clouds
162,Harsin,IR,34.2721,47.5861,81.41,21,0,3.02,clear sky
163,Da Nang,VN,16.0678,108.2208,82.38,83,20,2.3,few clouds
164,Murygino,RU,58.7383,49.4582,65.8,68,100,3.13,overcast clouds
165,Coahuayana,MX,18.7333,-103.6833,89.04,65,81,6.35,broken clouds
166,Ayr,GB,55.4627,-4.6339,68.99,72,0,11.5,clear sky
167,Pitimbu,BR,-7.4706,-34.8086,81.19,80,6,13.13,clear sky
168,Messina,IT,38.1933,15.5497,79.0,69,40,5.01,scattered clouds
169,Monrovia,LR,6.3005,-10.7969,78.57,80,82,8.84,broken clouds
170,Jamestown,US,42.097,-79.2353,83.52,61,20,7.0,few clouds
171,Sal Rei,CV,16.1833,-22.9167,79.0,73,75,13.8,broken clouds
172,Nishihara,JP,26.1842,127.7558,81.68,84,40,6.91,scattered clouds
173,Kaitangata,NZ,-46.2817,169.8464,46.02,95,100,10.8,overcast clouds
174,Sitka,US,57.0531,-135.33,57.09,77,90,4.61,light rain
175,Makakilo City,US,21.3469,-158.0858,81.61,60,1,12.66,haze
176,Severodvinsk,RU,64.5635,39.8302,53.71,90,3,5.99,clear sky
177,Garden City,US,42.3256,-83.331,86.14,60,40,1.01,scattered clouds
178,Gunnedah,AU,-30.9833,150.25,50.72,96,59,8.01,broken clouds
179,Oistins,BB,13.0667,-59.5333,86.09,70,40,21.85,scattered clouds
180,Winnipeg,CA,49.8844,-97.147,88.32,41,20,12.66,smoke
181,Bend,US,44.0582,-121.3153,87.24,19,1,1.99,clear sky
182,Atar,MR,20.5169,-13.0499,99.52,22,0,11.18,clear sky
183,Zhangye,CN,38.9342,100.4517,73.89,52,88,6.26,overcast clouds
184,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,71,49,2.66,scattered clouds
185,Cabo San Lucas,MX,22.8909,-109.9124,95.81,62,0,1.99,clear sky
186,Quatre Cocos,MU,-20.2078,57.7625,71.71,75,25,14.23,scattered clouds
187,Maniitsoq,GL,65.4167,-52.9,47.75,84,1,9.95,clear sky
188,Bethel,US,41.3712,-73.414,90.19,64,40,1.01,scattered clouds
189,Gatton,AU,-27.55,152.2833,71.53,82,45,8.79,scattered clouds
190,Qasigiannguit,GL,68.8193,-51.1922,46.65,80,81,3.69,broken clouds
191,Luanda,AO,-8.8368,13.2343,70.86,89,39,15.64,scattered clouds
192,Nome,US,64.5011,-165.4064,51.17,87,90,13.8,overcast clouds
193,Omboue,GA,-1.5746,9.2618,72.1,80,30,10.16,scattered clouds
194,Thompson,CA,55.7435,-97.8558,80.76,47,75,6.91,smoke
195,Marfino,RU,55.7028,37.3822,72.09,89,100,2.24,overcast clouds
196,Fort Nelson,CA,58.8053,-122.7002,58.59,55,75,12.66,broken clouds
197,Severo-Kurilsk,RU,50.6789,156.125,51.73,89,61,16.78,broken clouds
198,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,80.94,55,100,11.54,overcast clouds
199,Noumea,NC,-22.2763,166.4572,69.01,99,33,1.66,scattered clouds
200,Beringovskiy,RU,63.05,179.3167,50.52,85,51,12.35,broken clouds
201,Upernavik,GL,72.7868,-56.1549,42.75,80,100,9.26,overcast clouds
202,Taoudenni,ML,22.6783,-3.9836,106.81,14,52,9.95,broken clouds
203,Turayf,SA,31.6725,38.6637,88.05,30,0,18.41,clear sky
204,Ayagoz,KZ,47.9714,80.4392,58.35,61,95,8.21,overcast clouds
205,Belaya Gora,RU,68.5333,146.4167,55.09,43,4,6.73,clear sky
206,Sumbe,AO,-11.2061,13.8437,70.5,88,41,8.61,scattered clouds
207,Kadhan,PK,24.481,68.9859,88.61,60,100,3.51,heavy intensity rain
208,Sfantu Gheorghe,RO,45.8667,25.7833,69.26,75,64,3.89,broken clouds
209,Chapais,CA,49.7834,-74.8492,56.98,97,100,5.06,overcast clouds
210,Qaqortoq,GL,60.7167,-46.0333,64.9,75,20,4.54,few clouds
211,Felanitx,ES,39.4696,3.1483,75.96,69,21,4.74,few clouds
212,Vila Velha,BR,-20.3297,-40.2925,76.95,78,20,14.97,few clouds
213,Tianpeng,CN,30.9866,103.9393,73.87,95,100,4.14,overcast clouds
214,Ketchikan,US,55.3422,-131.6461,57.67,77,90,9.22,overcast clouds
215,Rantepao,ID,-2.9701,119.8978,67.3,99,100,1.25,heavy intensity rain
216,Dombas,NO,62.0696,9.1235,57.0,67,2,7.36,clear sky
217,Sumkino,RU,58.1108,68.3244,50.45,97,100,10.94,overcast clouds
218,Dongsheng,CN,39.8161,109.9776,72.99,59,58,8.68,broken clouds
219,Marau,BR,-28.4492,-52.2,62.55,96,100,7.23,overcast clouds
220,Byron Bay,AU,-28.65,153.6167,69.69,90,34,13.02,scattered clouds
221,Kenai,US,60.5544,-151.2583,68.02,72,1,6.91,clear sky
222,Eureka,US,40.8021,-124.1637,60.21,83,74,5.99,broken clouds
223,Jining,CN,35.405,116.5814,75.76,93,65,5.19,light rain
224,Muzhi,RU,65.3667,64.6667,57.16,67,97,5.64,overcast clouds
225,Guerrero Negro,MX,27.9769,-114.0611,79.75,55,23,15.01,few clouds
226,Ahipara,NZ,-35.1667,173.1667,54.39,86,40,11.7,scattered clouds
227,Manakara,MG,-22.1333,48.0167,65.68,85,38,0.54,scattered clouds
228,Rawah,IQ,34.4816,41.9093,91.42,21,0,5.48,clear sky
229,Chapleau,CA,47.8405,-83.4034,69.89,64,90,9.22,overcast clouds
230,Kihei,US,20.785,-156.4656,84.97,73,40,21.85,scattered clouds
231,Upington,ZA,-28.4478,21.2561,46.78,18,0,1.14,clear sky
232,Talakan,RU,50.3167,130.3667,72.61,99,100,5.37,overcast clouds
233,Almaznyy,RU,48.0448,40.045,75.34,43,88,5.93,overcast clouds
234,Xinqing,CN,48.2333,129.5,71.6,98,98,4.32,overcast clouds
235,Male,MV,4.1748,73.5089,84.15,84,75,4.61,broken clouds
236,Evensk,RU,61.95,159.2333,60.8,76,12,2.35,few clouds
237,Husavik,IS,66.0449,-17.3389,60.71,74,1,5.99,clear sky
238,Itaituba,BR,-4.2761,-55.9836,91.56,58,40,5.75,scattered clouds
239,Shahgarh,IN,24.3167,79.1333,85.73,56,90,10.22,overcast clouds
240,Wajima,JP,37.4,136.9,75.43,84,92,5.28,overcast clouds
241,Isangel,VU,-19.55,169.2667,73.83,89,65,10.42,broken clouds
242,Bandarbeyla,SO,9.4942,50.8122,77.74,80,100,30.91,overcast clouds
243,Khatanga,RU,71.9667,102.5,48.42,82,100,5.1,light rain
244,Bathsheba,BB,13.2167,-59.5167,86.61,70,40,21.85,scattered clouds
245,Tiznit,MA,29.5833,-9.5,79.9,39,0,3.83,clear sky
246,Savannah Bight,HN,16.45,-85.85,84.99,75,19,9.84,few clouds
247,Toamasina,MG,-18.1667,49.3833,67.91,87,100,11.3,light rain
248,Esperance,AU,-33.8667,121.9,51.64,81,81,26.93,broken clouds
249,Kumluca,TR,36.3703,30.2869,88.12,37,0,7.65,clear sky
250,Narsaq,GL,60.9167,-46.05,64.62,56,9,4.81,clear sky
251,Hithadhoo,MV,-0.6,73.0833,82.2,76,72,10.8,broken clouds
252,Cairns,AU,-16.9167,145.7667,71.06,100,40,0.0,scattered clouds
253,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,61,40,9.22,scattered clouds
254,Bukama,CD,-9.2,25.85,73.78,33,9,2.82,clear sky
255,Aykhal,RU,66.0,111.5,51.06,59,0,5.68,clear sky
